IncidntNum,date,type,general,day,wknd,year,time,day.section,district,X,Y
30342888,03/21/2003,STRANGULATION,commited,5.Friday,NO,2003,19,2.AFTERNOON,BAYVIEW,-122.3969241,37.71104219
30367002,03/28/2003,ATTEMPTED,attempted,5.Friday,NO,2003,19,2.AFTERNOON,INGLESIDE,-122.4358316,37.71393631
30488078,04/25/2003,FIREARMS,commited,5.Friday,NO,2003,17,2.AFTERNOON,INGLESIDE,-122.4279559,37.74528544
30655255,05/30/2003,STRANGULATION,commited,5.Friday,NO,2003,7,1.MORNING,TARAVAL,-122.4575581,37.71225254
30658572,05/30/2003,ATTEMPTED,attempted,5.Friday,NO,2003,22,4.EVENING,INGLESIDE,-122.4266425,37.73895662
30686664,06/06/2003,JUMPING,commited,5.Friday,NO,2003,14,2.AFTERNOON,NORTHERN,-122.4749893,37.806582
30910554,08/01/2003,STRANGULATION,commited,5.Friday,NO,2003,1,0.DOWN,MISSION,-122.4198486,37.75220868
30964313,08/15/2003,ATTEMPTED,attempted,5.Friday,NO,2003,10,1.MORNING,NORTHERN,-122.42895,37.76750273
31021841,08/29/2003,ATTEMPTED,attempted,5.Friday,NO,2003,10,1.MORNING,TARAVAL,-122.4792692,37.76251576
31078234,09/12/2003,ATTEMPTED,attempted,5.Friday,NO,2003,10,1.MORNING,BAYVIEW,-122.4159267,37.72701554
31136575,09/26/2003,ATTEMPTED,attempted,5.Friday,NO,2003,12,1.MORNING,CENTRAL,-122.4221994,37.80643511
31311482,11/07/2003,STRANGULATION,commited,5.Friday,NO,2003,15,2.AFTERNOON,BAYVIEW,-122.4034444,37.74257078
31366164,11/21/2003,STRANGULATION,commited,5.Friday,NO,2003,12,1.MORNING,TARAVAL,-122.4721011,37.74600666
31418044,12/05/2003,ATTEMPTED,attempted,5.Friday,NO,2003,3,0.DOWN,INGLESIDE,-122.4197876,37.70913187
31421069,12/05/2003,OTHER,commited,5.Friday,NO,2003,15,2.AFTERNOON,SOUTHERN,-122.3961679,37.78272397
40033685,01/09/2004,ATTEMPTED,attempted,5.Friday,NO,2004,16,2.AFTERNOON,INGLESIDE,-122.4040427,37.71614902
40042084,01/09/2004,STRANGULATION,commited,5.Friday,NO,2004,23,4.EVENING,RICHMOND,-122.4981114,37.77285231
40179784,02/13/2004,ATTEMPTED,attempted,5.Friday,NO,2004,23,4.EVENING,MISSION,-122.419699,37.7529512
40377273,04/02/2004,ATTEMPTED,attempted,5.Friday,NO,2004,8,1.MORNING,SOUTHERN,-122.4100416,37.78195365
40411285,04/09/2004,ATTEMPTED,attempted,5.Friday,NO,2004,20,4.EVENING,TARAVAL,-122.5013831,37.76447898
40552209,05/14/2004,ATTEMPTED,attempted,5.Friday,NO,2004,8,1.MORNING,SOUTHERN,-122.410733,37.77683491
40782989,07/09/2004,ATTEMPTED,attempted,5.Friday,NO,2004,16,2.AFTERNOON,NORTHERN,-122.4359639,37.79517315
40783432,07/09/2004,ATTEMPTED,attempted,5.Friday,NO,2004,18,2.AFTERNOON,TARAVAL,-122.4913462,37.75075812
40955318,08/20/2004,JUMPING,commited,5.Friday,NO,2004,15,2.AFTERNOON,NORTHERN,-122.4749893,37.806582
41178880,10/15/2004,OTHER,commited,5.Friday,NO,2004,3,0.DOWN,NORTHERN,-122.4189184,37.78594073
41387768,12/03/2004,STRANGULATION,commited,5.Friday,NO,2004,13,2.AFTERNOON,INGLESIDE,-122.4497749,37.73636688
