codigo,tipo,categoria,dia,finde,ano,hora,momento,distrito,X,Y
30462555,intento,intento,7.DOMINGO,SI,2003,1,0.MADRUGADA,BAYVIEW,-122.3925634,37.73687431
61380811,intento,intento,7.DOMINGO,SI,2006,1,0.MADRUGADA,BAYVIEW,-122.3977444,37.72993469
91324942,otros,cometido,7.DOMINGO,SI,2008,3,0.MADRUGADA,BAYVIEW,-122.397505,37.73765094
41300704,intento,intento,7.DOMINGO,SI,2004,11,1.MANANA,BAYVIEW,-122.3793486,37.73485433
30890699,asfixia,cometido,7.DOMINGO,SI,2003,19,2.TARDE,BAYVIEW,-122.3991281,37.75855949
60300157,intento,intento,7.DOMINGO,SI,2006,19,2.TARDE,BAYVIEW,-122.4063906,37.72888805
130097878,intento,intento,7.DOMINGO,SI,2013,19,2.TARDE,BAYVIEW,-122.3970892,37.75359879
70128165,intento,intento,7.DOMINGO,SI,2007,23,4.NOCHE,BAYVIEW,-122.3956603,37.72203709
90514867,intento,intento,7.DOMINGO,SI,2009,22,4.NOCHE,BAYVIEW,-122.3995844,37.74450296
90735881,intento,intento,7.DOMINGO,SI,2009,21,4.NOCHE,BAYVIEW,-122.4026911,37.76086603
150716020,intento,intento,7.DOMINGO,SI,2015,21,4.NOCHE,BAYVIEW,-122.3871886,37.73801277
40314980,intento,intento,4.JUEVES,NO,2004,0,0.MADRUGADA,BAYVIEW,-122.3803483,37.72882763
50784276,intento,intento,4.JUEVES,NO,2005,0,0.MADRUGADA,BAYVIEW,-122.3980042,37.71903318
61089041,intento,intento,4.JUEVES,NO,2006,1,0.MADRUGADA,BAYVIEW,-122.4023345,37.7414708
160708095,salto,cometido,4.JUEVES,NO,2016,4,0.MADRUGADA,BAYVIEW,-122.3883584,37.73530493
30092011,intento,intento,4.JUEVES,NO,2003,12,1.MANANA,BAYVIEW,-122.3871992,37.75610775
50842181,intento,intento,4.JUEVES,NO,2005,10,1.MANANA,BAYVIEW,-122.3821926,37.72988743
60261656,estrangulamiento,cometido,4.JUEVES,NO,2006,9,1.MANANA,BAYVIEW,-122.3844171,37.7302296
61088792,intento,intento,4.JUEVES,NO,2006,7,1.MANANA,BAYVIEW,-122.3884161,37.7191957
100163186,intento,intento,4.JUEVES,NO,2010,9,1.MANANA,BAYVIEW,-122.4103109,37.7304442
90988557,arma,cometido,4.JUEVES,NO,2009,18,2.TARDE,BAYVIEW,-122.405401,37.72914678
100860699,otros,cometido,4.JUEVES,NO,2010,16,2.TARDE,BAYVIEW,-122.3959256,37.76127416
120590246,intento,intento,4.JUEVES,NO,2012,14,2.TARDE,BAYVIEW,-122.4041247,37.72489658
61373684,intento,intento,4.JUEVES,NO,2006,23,4.NOCHE,BAYVIEW,-122.3963576,37.73033717
40156594,intento,intento,1.LUNES,NO,2004,0,0.MADRUGADA,BAYVIEW,-122.3916594,37.75260628
50541866,intento,intento,1.LUNES,NO,2005,2,0.MADRUGADA,BAYVIEW,-122.3759892,37.73015769
51053335,arma,cometido,1.LUNES,NO,2005,11,1.MANANA,BAYVIEW,-122.3885428,37.72878929
170762053,arma,cometido,1.LUNES,NO,2017,9,1.MANANA,BAYVIEW,-122.4008502,37.73408394
170782471,intento,intento,1.LUNES,NO,2017,9,1.MANANA,BAYVIEW,-122.3927758,37.73307817
110798563,intento,intento,1.LUNES,NO,2011,19,2.TARDE,BAYVIEW,-122.4008502,37.73408394
130188364,intento,intento,1.LUNES,NO,2013,18,2.TARDE,BAYVIEW,-122.4093464,37.72811494
160461152,intento,intento,1.LUNES,NO,2016,13,2.TARDE,BAYVIEW,-122.3884759,37.74152204
81232214,intento,intento,1.LUNES,NO,2008,20,4.NOCHE,BAYVIEW,-122.4045812,37.72598969
150015258,intento,intento,1.LUNES,NO,2015,23,4.NOCHE,BAYVIEW,-122.3926403,37.75254384
60021579,otros,cometido,2.MARTES,NO,2005,0,0.MADRUGADA,BAYVIEW,-122.391003,37.71978918
81313187,estrangulamiento,cometido,2.MARTES,NO,2008,0,0.MADRUGADA,BAYVIEW,-122.3931735,37.75891837
50289931,intento,intento,2.MARTES,NO,2005,7,1.MANANA,BAYVIEW,-122.3999333,37.73808422
70006301,estrangulamiento,cometido,2.MARTES,NO,2007,10,1.MANANA,BAYVIEW,-122.4078651,37.72717085
120405134,arma,cometido,2.MARTES,NO,2012,7,1.MANANA,BAYVIEW,-122.4105542,37.72986584
140332802,arma,cometido,2.MARTES,NO,2014,7,1.MANANA,BAYVIEW,-122.3993646,37.76818362
140461285,arma,cometido,2.MARTES,NO,2014,7,1.MANANA,BAYVIEW,-122.3919043,37.75515698
50918851,intento,intento,2.MARTES,NO,2005,15,2.TARDE,BAYVIEW,-122.3975901,37.73420934
81099105,laceracion,cometido,2.MARTES,NO,2008,18,2.TARDE,BAYVIEW,-122.3887231,37.73172629
81365752,intento,intento,2.MARTES,NO,2008,17,2.TARDE,BAYVIEW,-122.386285,37.73128969
110922938,intento,intento,2.MARTES,NO,2011,22,4.NOCHE,BAYVIEW,-122.3886619,37.76367804
140293470,intento,intento,2.MARTES,NO,2014,21,4.NOCHE,BAYVIEW,-122.3830851,37.73175234
30507292,estrangulamiento,cometido,3.MIERCOLES,NO,2003,18,2.TARDE,BAYVIEW,-122.3983447,37.76053009
100302130,intento,intento,3.MIERCOLES,NO,2010,19,2.TARDE,BAYVIEW,-122.4013995,37.70911172
130509760,arma,cometido,3.MIERCOLES,NO,2013,17,2.TARDE,BAYVIEW,-122.3943159,37.72450292
170405811,estrangulamiento,cometido,3.MIERCOLES,NO,2017,17,2.TARDE,BAYVIEW,-122.3807158,37.72960963
60660092,estrangulamiento,cometido,3.MIERCOLES,NO,2006,21,4.NOCHE,BAYVIEW,-122.4068252,37.74105498
70476102,intento,intento,3.MIERCOLES,NO,2007,22,4.NOCHE,BAYVIEW,-122.390459,37.75518672
100646615,estrangulamiento,cometido,3.MIERCOLES,NO,2010,20,4.NOCHE,BAYVIEW,-122.3906139,37.72334828
40467272,intento,intento,6.SABADO,SI,2004,1,0.MADRUGADA,BAYVIEW,-122.380291,37.7354367
140577622,intento,intento,6.SABADO,SI,2014,1,0.MADRUGADA,BAYVIEW,-122.3934899,37.73010934
150159179,intento,intento,6.SABADO,SI,2015,2,0.MADRUGADA,BAYVIEW,-122.3908725,37.73875195
30689618,intento,intento,6.SABADO,SI,2003,12,1.MANANA,BAYVIEW,-122.4164207,37.72821692
100498331,arma,cometido,6.SABADO,SI,2010,11,1.MANANA,BAYVIEW,-122.3761579,37.73229105
110572210,estrangulamiento,cometido,6.SABADO,SI,2011,10,1.MANANA,BAYVIEW,-122.4138302,37.72575458
30101690,intento,intento,6.SABADO,SI,2003,15,2.TARDE,BAYVIEW,-122.4029122,37.72580545
80339960,otros,cometido,6.SABADO,SI,2008,15,2.TARDE,BAYVIEW,-122.3784942,37.73040968
100566615,intento,intento,6.SABADO,SI,2010,14,2.TARDE,BAYVIEW,-122.4100225,37.72728559
120803130,otros,cometido,6.SABADO,SI,2012,18,2.TARDE,BAYVIEW,-122.3908725,37.73875195
130116412,intento,intento,6.SABADO,SI,2013,19,2.TARDE,BAYVIEW,-122.3915492,37.7191792
60378364,intento,intento,6.SABADO,SI,2006,22,4.NOCHE,BAYVIEW,-122.3887231,37.73172629
80966789,intento,intento,5.VIERNES,NO,2008,3,0.MADRUGADA,BAYVIEW,-122.3927758,37.73307817
31078234,intento,intento,5.VIERNES,NO,2003,10,1.MANANA,BAYVIEW,-122.4159267,37.72701554
70118310,arma,cometido,5.VIERNES,NO,2007,7,1.MANANA,BAYVIEW,-122.4125238,37.7293511
80885355,intento,intento,5.VIERNES,NO,2008,10,1.MANANA,BAYVIEW,-122.3794814,37.73651645
90082858,intento,intento,5.VIERNES,NO,2009,10,1.MANANA,BAYVIEW,-122.3901504,37.72700062
160390943,estrangulamiento,cometido,5.VIERNES,NO,2016,11,1.MANANA,BAYVIEW,-122.4051125,37.7299591
30342888,estrangulamiento,cometido,5.VIERNES,NO,2003,19,2.TARDE,BAYVIEW,-122.3969241,37.71104219
31311482,estrangulamiento,cometido,5.VIERNES,NO,2003,15,2.TARDE,BAYVIEW,-122.4034444,37.74257078
130196254,intento,intento,5.VIERNES,NO,2013,14,2.TARDE,BAYVIEW,-122.3862046,37.73137907
140943891,intento,intento,5.VIERNES,NO,2014,13,2.TARDE,BAYVIEW,-122.3968075,37.73543929
161041369,intento,intento,5.VIERNES,NO,2016,13,2.TARDE,BAYVIEW,-122.4054951,37.73428666
60051491,intento,intento,5.VIERNES,NO,2006,21,4.NOCHE,BAYVIEW,-122.4092212,37.73139283
101138249,intento,intento,5.VIERNES,NO,2010,20,4.NOCHE,BAYVIEW,-122.3955133,37.75361785
80169472,intento,intento,7.DOMINGO,SI,2008,0,0.MADRUGADA,CENTRAL,-122.4066294,37.80420685
150759456,salto,cometido,7.DOMINGO,SI,2015,1,0.MADRUGADA,CENTRAL,-122.4080147,37.79669972
40327717,intento,intento,7.DOMINGO,SI,2004,10,1.MANANA,CENTRAL,-122.4107742,37.80843502
51310721,salto,cometido,7.DOMINGO,SI,2005,12,1.MANANA,CENTRAL,-122.4090163,37.79094214
100844994,intento,intento,7.DOMINGO,SI,2010,12,1.MANANA,CENTRAL,-122.4127629,37.79276353
110413238,intento,intento,7.DOMINGO,SI,2011,11,1.MANANA,CENTRAL,-122.4120324,37.78788549
