"age_group","satisfaction_level"
"<25","very_small"
"<25","very_small"
"<25","very_small"
"<25","very_small"
"<25","very_small"
"<25","very_small"
"<25","very_small"
"<25","very_small"
"<25","very_small"
"<25","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
"25-36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
">36","very_small"
"<25","small"
"<25","small"
"<25","small"
"<25","small"
"<25","small"
"<25","small"
"<25","small"
"<25","small"
"<25","small"
"<25","small"
"25-36","small"
"25-36","small"
"25-36","small"
"25-36","small"
"25-36","small"
"25-36","small"
"25-36","small"
"25-36","small"
"25-36","small"
"25-36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
">36","small"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"<25","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
"25-36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
">36","medium"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"<25","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
"25-36","large"
">36","large"
">36","large"
">36","large"
">36","large"
">36","large"
">36","large"
">36","large"
">36","large"
">36","large"
">36","large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"<25","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
"25-36","very_large"
">36","very_large"
">36","very_large"
">36","very_large"
">36","very_large"
">36","very_large"
