"spending","answer"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","yes"
"too little","no"
"too little","no"
"too little","no"
"too little","no"
"too little","no"
"too little","no"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","yes"
"about right","no"
"about right","no"
"about right","no"
"about right","no"
"about right","no"
"about right","no"
"about right","no"
"about right","no"
"about right","no"
"about right","no"
"about right","no"
"about right","no"
"about right","no"
"too much","yes"
"too much","yes"
"too much","yes"
"too much","yes"
"too much","yes"
"too much","yes"
"too much","yes"
"too much","yes"
"too much","yes"
"too much","no"
"too much","no"
"too much","no"
"too much","no"
"too much","no"
"too much","no"
"too much","no"
