Height,Diameter,Condition
10,71,lab
10,71,lab
11,71,lab
11,71,lab
12,73,outdoor
12,73,outdoor
15,76,lab
15,78,lab
15,76,lab
15,78,lab
25,80,lab
25,81,lab
25,85,outdoor
25,80,lab
25,81,lab
25,85,outdoor
30,90,lab
30,89,lab
30,80,outdoor
30,90,lab
30,89,lab
30,80,outdoor
40,90,lab
40,92,lab
40,90,lab
40,92,lab
43,96,outdoor
43,96,outdoor
45,100,lab
45,101,lab
45,98,outdoor
45,100,lab
45,101,lab
45,98,outdoor
55,95,outdoor
55,95,outdoor
59,100,outdoor
59,100,outdoor
60,99,lab
60,99,lab
60,99,lab
60,99,lab
71,116,outdoor
71,113,outdoor
71,116,outdoor
71,113,outdoor
75,120,lab
75,122,lab
75,120,lab
75,122,lab
90,130,lab
90,131,lab
90,130,lab
90,131,lab
91,127,outdoor
91,127,outdoor
95,130,outdoor
95,130,outdoor
103,135,outdoor
103,135,outdoor
105,135,lab
105,137,lab
105,125,outdoor
105,135,lab
105,137,lab
105,125,outdoor
106,120,outdoor
106,120,outdoor
115,150,lab
115,141,outdoor
115,150,lab
115,141,outdoor
117,147,outdoor
117,147,outdoor
120,153,lab
120,154,lab
120,145,outdoor
120,151,outdoor
120,147,outdoor
120,137,outdoor
120,153,lab
120,154,lab
120,145,outdoor
120,151,outdoor
120,147,outdoor
120,137,outdoor
