"team_relation","sharing_level"
"Same_team","Not_sharing"
"Same_team","Not_sharing"
"Same_team","Not_sharing"
"Same_team","Not_sharing"
"Same_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Different_team","Not_sharing"
"Same_team","A_little"
"Same_team","A_little"
"Same_team","A_little"
"Same_team","A_little"
"Same_team","A_little"
"Same_team","A_little"
"Same_team","A_little"
"Same_team","A_little"
"Same_team","A_little"
"Same_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Different_team","A_little"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Same_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Different_team","Somewhat"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Same_team","Much"
"Different_team","Much"
"Different_team","Much"
"Different_team","Much"
"Different_team","Much"
"Different_team","Much"
"Different_team","Much"
"Different_team","Much"
"Different_team","Much"
"Different_team","Much"
"Different_team","Much"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Same_team","Very_much_sharing"
"Different_team","Very_much_sharing"
"Different_team","Very_much_sharing"
"Different_team","Very_much_sharing"
"Different_team","Very_much_sharing"
"Different_team","Very_much_sharing"
