edad,tobillos_desnudos,sexo
6,0,f
5,0,m
1,0,f
3,0,m
1,0,f
4,0,m
2,0,f
1,0,m
1,0,f
3,0,m
4,0,f
3,0,m
3,0,f
2,0,m
1,0,f
5,0,m
4,0,f
4,0,m
3,0,f
5,0,m
3,0,f
1,0,m
5,0,f
5,0,m
4,0,f
1,0,m
3,0,f
1,0,m
5,0,f
1,0,m
3,0,f
6,0,m
2,0,f
4,0,m
3,0,f
3,0,m
4,0,f
6,0,m
6,0,f
4,0,m
3,0,f
2,0,m
5,0,f
2,0,m
6,0,f
2,0,m
1,0,f
3,0,m
2,0,f
1,0,m
1,0,f
6,0,m
4,0,f
3,0,m
6,0,f
6,0,m
6,0,f
6,0,m
6,0,f
1,0,m
5,0,f
4,0,m
2,0,f
3,0,m
4,0,f
1,0,m
2,0,f
2,0,m
3,0,f
3,0,m
3,0,f
3,0,m
5,0,f
6,0,m
4,0,f
6,0,m
1,0,f
3,0,m
3,0,f
4,0,m
2,0,f
2,0,m
4,0,f
6,0,m
3,0,f
6,0,m
6,0,f
1,0,m
3,0,f
6,0,m
6,0,f
5,0,m
4,0,f
6,0,m
4,0,f
4,0,m
4,0,f
5,0,m
3,0,f
9,1,m
7,1,f
9,0,m
8,0,f
6,0,m
8,0,f
7,0,m
10,0,f
7,1,m
8,0,f
6,1,m
10,0,f
7,0,m
10,0,f
7,0,m
9,0,f
8,0,m
6,0,f
8,0,m
7,0,f
6,0,m
10,0,f
9,0,m
9,0,f
9,0,m
8,0,f
8,0,m
10,0,f
10,0,m
7,0,f
8,0,m
6,0,f
7,0,m
7,0,f
8,0,m
9,0,f
8,0,m
8,0,f
9,0,m
7,0,f
6,0,m
6,0,f
8,0,m
9,0,f
10,0,m
9,0,f
8,0,m
10,0,f
7,0,m
9,0,f
9,0,m
6,0,f
6,0,m
10,0,f
7,0,m
8,0,f
10,0,m
7,0,f
8,0,m
8,0,f
7,0,m
8,0,f
6,0,m
6,0,f
8,0,m
10,0,f
8,0,m
10,0,f
6,0,m
6,0,f
7,0,m
6,0,f
9,0,m
7,0,f
6,0,m
9,0,f
9,0,m
10,0,f
9,0,m
7,0,f
6,0,m
10,0,f
7,0,m
7,0,f
9,0,m
7,0,f
6,0,m
9,0,f
9,0,m
9,0,f
10,0,m
7,0,f
7,0,m
10,0,f
6,0,m
9,0,f
8,0,m
7,0,f
10,0,m
7,0,f
15,1,f
12,1,f
14,1,f
15,1,f
14,1,f
14,1,f
14,1,f
13,1,f
11,1,f
15,1,f
12,1,f
15,1,f
13,1,f
15,1,f
13,1,f
11,1,f
12,1,f
14,1,f
11,1,f
12,1,f
14,1,f
14,1,f
11,1,f
15,1,f
15,1,f
13,1,f
12,1,f
11,1,f
14,1,f
11,1,f
12,1,f
12,1,f
12,1,f
12,1,f
15,1,f
12,1,f
15,0,f
14,0,f
13,1,f
15,1,f
14,1,f
11,1,f
15,1,f
11,1,f
12,0,f
13,1,f
14,1,f
11,1,f
14,1,f
12,1,f
13,0,m
14,0,m
13,0,m
11,0,m
15,0,m
14,0,m
15,0,m
14,0,m
12,0,m
14,0,m
12,0,m
11,0,m
11,0,m
14,0,m
11,0,m
12,0,m
12,0,m
14,0,m
11,0,m
14,0,m
11,0,m
12,0,m
15,0,m
14,0,m
11,0,m
14,0,m
14,0,m
11,0,m
15,0,m
11,0,m
12,0,m
12,0,m
13,0,m
13,0,m
15,0,m
15,0,m
15,0,m
15,0,m
11,0,m
15,1,m
12,1,m
12,0,m
12,0,m
14,0,m
15,1,m
11,1,m
12,0,m
15,0,m
14,0,m
11,1,m
18,1,f
22,1,f
16,1,f
16,1,f
25,1,f
25,1,f
17,1,f
23,1,f
22,1,f
16,1,f
17,1,f
24,1,f
24,1,f
23,1,f
22,1,f
23,1,f
19,1,f
23,1,f
17,1,f
16,1,f
16,1,f
17,1,f
18,1,f
20,1,f
18,1,f
16,0,f
25,1,f
16,0,f
20,0,f
17,1,f
22,1,f
24,1,f
19,1,f
21,1,f
18,1,f
25,1,f
18,1,f
22,1,f
23,1,f
18,1,f
22,1,f
22,1,f
21,1,f
24,1,f
19,1,f
20,1,f
24,1,f
16,1,f
24,1,f
22,1,f
25,0,m
20,0,m
22,0,m
16,0,m
25,0,m
22,0,m
20,0,m
21,0,m
23,0,m
25,0,m
17,0,m
23,0,m
19,0,m
24,0,m
22,0,m
16,0,m
25,0,m
24,0,m
24,0,m
16,0,m
20,0,m
23,0,m
22,0,m
19,0,m
25,0,m
18,0,m
16,0,m
23,0,m
22,0,m
20,0,m
25,0,m
20,1,m
17,1,m
24,1,m
20,1,m
24,1,m
21,1,m
24,1,m
19,1,m
24,1,m
21,1,m
20,1,m
20,1,m
21,1,m
22,1,m
21,1,m
21,1,m
17,1,m
25,1,m
24,1,m
30,1,f
27,1,f
30,1,f
28,1,f
28,1,f
30,1,f
34,1,f
35,1,f
26,1,f
26,1,f
33,1,f
30,1,f
30,1,f
34,1,f
27,1,f
27,1,f
29,1,f
27,1,f
29,1,f
33,1,f
29,1,f
32,1,f
34,1,f
27,1,f
28,1,f
33,1,f
33,1,f
28,1,f
33,1,f
31,1,f
32,1,f
31,1,f
26,1,f
32,1,f
29,1,f
34,1,f
29,1,f
29,1,f
29,0,f
35,0,f
31,0,f
32,0,f
26,0,f
31,0,f
35,0,f
30,0,f
34,0,f
33,0,f
30,0,f
34,0,m
28,0,m
32,0,m
33,0,m
35,0,m
32,0,m
34,0,m
32,1,m
32,0,m
26,0,m
32,1,m
32,0,m
31,0,m
28,1,m
34,0,m
29,0,m
28,1,m
29,0,m
34,0,m
34,1,m
29,0,m
35,0,m
32,0,m
27,1,m
31,0,m
29,0,m
31,1,m
35,1,m
33,0,m
34,0,m
28,0,m
31,1,m
26,0,m
32,0,m
31,0,m
29,1,m
35,1,m
26,0,m
34,0,m
26,0,m
33,0,m
27,0,m
29,0,m
27,0,m
27,0,m
30,0,m
26,0,m
35,0,m
33,0,m
29,0,m
33,0,m
29,0,m
33,0,m
27,0,m
44,1,f
38,1,f
42,1,f
42,1,f
36,1,f
44,1,f
42,1,f
40,1,f
45,1,f
44,1,f
42,1,f
43,1,f
37,1,f
42,0,f
37,0,f
37,0,f
42,0,f
45,0,f
40,0,f
38,0,f
39,0,f
41,0,f
40,0,f
45,0,f
43,0,f
36,0,f
38,0,f
42,0,f
42,0,f
43,0,f
37,0,f
39,0,f
39,0,f
39,0,f
43,0,f
38,0,f
41,0,f
39,0,f
42,0,f
44,0,f
42,0,f
44,0,f
37,0,f
44,0,f
37,0,f
37,0,f
44,0,f
36,0,m
40,0,m
40,0,m
43,0,m
41,0,m
38,0,m
44,1,m
36,1,m
41,0,m
45,0,m
41,0,m
44,0,m
44,0,m
36,0,m
38,0,m
38,0,m
39,0,m
38,0,m
44,0,m
44,0,m
40,0,m
36,0,m
40,0,m
36,0,m
38,0,m
38,0,m
37,0,m
39,0,m
45,0,m
36,0,m
44,0,m
44,0,m
42,0,m
45,0,m
39,0,m
40,0,m
36,0,m
44,0,m
37,0,m
45,0,m
36,0,m
45,0,m
37,0,m
42,0,m
40,0,m
36,0,m
39,0,m
39,0,m
43,0,m
40,0,m
51,1,f
52,1,f
56,1,f
53,1,f
50,1,f
56,1,f
46,1,f
46,1,f
52,1,f
54,0,f
56,0,f
54,0,f
46,0,f
53,0,f
56,0,f
55,0,f
50,0,f
48,0,f
54,0,f
57,0,f
50,0,f
45,0,f
51,0,f
58,0,f
59,0,f
57,0,f
58,0,f
55,0,f
45,0,f
55,0,f
55,0,f
50,0,f
45,0,f
60,0,f
58,0,f
59,0,f
47,0,f
55,0,f
52,0,f
56,0,f
46,0,f
60,0,f
46,0,f
59,0,f
45,0,f
59,0,f
57,0,f
60,0,m
47,0,m
48,0,m
51,0,m
51,0,m
60,0,m
58,0,m
60,0,m
52,0,m
51,0,m
57,0,m
53,0,m
48,0,m
46,0,m
58,0,m
45,0,m
49,0,m
55,0,m
59,0,m
46,0,m
51,0,m
55,0,m
45,0,m
54,0,m
56,0,m
54,0,m
58,0,m
50,0,m
56,0,m
47,0,m
54,0,m
50,0,m
50,0,m
54,0,m
49,0,m
57,0,m
47,0,m
59,0,m
58,0,m
48,0,m
60,0,m
52,0,m
51,0,m
52,0,m
60,0,m
50,0,m
48,0,m
49,0,m
49,0,m
50,0,m
50,0,m
45,0,m
57,0,m
65,0,f
70,0,f
