"","tv_show","plain","laugh_track"
"1","TV Show 1",2.13,0.95
"2","TV Show 2",4.53,6.62
"3","TV Show 3",2.53,2.42
"4","TV Show 4",1.68,4.32
"5","TV Show 5",2.7,4.27
"6","TV Show 6",3.54,2.23
"7","TV Show 7",2.68,5.28
"8","TV Show 8",2.18,3.6
"9","TV Show 9",2.43,4.49
"10","TV Show 10",1.3,2.71
"11","TV Show 11",2.75,4.92
"12","TV Show 12",4.37,2.44
"13","TV Show 13",3.04,1.74
"14","TV Show 14",3.24,5.19
"15","TV Show 15",1.17,0.99
"16","TV Show 16",2.75,2.86
"17","TV Show 17",1.17,3.23
"18","TV Show 18",2.65,6.28
"19","TV Show 19",4.3,3.77
"20","TV Show 20",0.3,4.94
