adina,txorkatilak,sexua
6,0,e
5,0,g
1,0,e
3,0,g
1,0,e
4,0,g
2,0,e
1,0,g
1,0,e
3,0,g
4,0,e
3,0,g
3,0,e
2,0,g
1,0,e
5,0,g
4,0,e
4,0,g
3,0,e
5,0,g
3,0,e
1,0,g
5,0,e
5,0,g
4,0,e
1,0,g
3,0,e
1,0,g
5,0,e
1,0,g
3,0,e
6,0,g
2,0,e
4,0,g
3,0,e
3,0,g
4,0,e
6,0,g
6,0,e
4,0,g
3,0,e
2,0,g
5,0,e
2,0,g
6,0,e
2,0,g
1,0,e
3,0,g
2,0,e
1,0,g
1,0,e
6,0,g
4,0,e
3,0,g
6,0,e
6,0,g
6,0,e
6,0,g
6,0,e
1,0,g
5,0,e
4,0,g
2,0,e
3,0,g
4,0,e
1,0,g
2,0,e
2,0,g
3,0,e
3,0,g
3,0,e
3,0,g
5,0,e
6,0,g
4,0,e
6,0,g
1,0,e
3,0,g
3,0,e
4,0,g
2,0,e
2,0,g
4,0,e
6,0,g
3,0,e
6,0,g
6,0,e
1,0,g
3,0,e
6,0,g
6,0,e
5,0,g
4,0,e
6,0,g
4,0,e
4,0,g
4,0,e
5,0,g
3,0,e
9,1,g
7,1,e
9,0,g
8,0,e
6,0,g
8,0,e
7,0,g
10,0,e
7,1,g
8,0,e
6,1,g
10,0,e
7,0,g
10,0,e
7,0,g
9,0,e
8,0,g
6,0,e
8,0,g
7,0,e
6,0,g
10,0,e
9,0,g
9,0,e
9,0,g
8,0,e
8,0,g
10,0,e
10,0,g
7,0,e
8,0,g
6,0,e
7,0,g
7,0,e
8,0,g
9,0,e
8,0,g
8,0,e
9,0,g
7,0,e
6,0,g
6,0,e
8,0,g
9,0,e
10,0,g
9,0,e
8,0,g
10,0,e
7,0,g
9,0,e
9,0,g
6,0,e
6,0,g
10,0,e
7,0,g
8,0,e
10,0,g
7,0,e
8,0,g
8,0,e
7,0,g
8,0,e
6,0,g
6,0,e
8,0,g
10,0,e
8,0,g
10,0,e
6,0,g
6,0,e
7,0,g
6,0,e
9,0,g
7,0,e
6,0,g
9,0,e
9,0,g
10,0,e
9,0,g
7,0,e
6,0,g
10,0,e
7,0,g
7,0,e
9,0,g
7,0,e
6,0,g
9,0,e
9,0,g
9,0,e
10,0,g
7,0,e
7,0,g
10,0,e
6,0,g
9,0,e
8,0,g
7,0,e
10,0,g
7,0,e
15,1,e
12,1,e
14,1,e
15,1,e
14,1,e
14,1,e
14,1,e
13,1,e
11,1,e
15,1,e
12,1,e
15,1,e
13,1,e
15,1,e
13,1,e
11,1,e
12,1,e
14,1,e
11,1,e
12,1,e
14,1,e
14,1,e
11,1,e
15,1,e
15,1,e
13,1,e
12,1,e
11,1,e
14,1,e
11,1,e
12,1,e
12,1,e
12,1,e
12,1,e
15,1,e
12,1,e
15,0,e
14,0,e
13,1,e
15,1,e
14,1,e
11,1,e
15,1,e
11,1,e
12,0,e
13,1,e
14,1,e
11,1,e
14,1,e
12,1,e
13,0,g
14,0,g
13,0,g
11,0,g
15,0,g
14,0,g
15,0,g
14,0,g
12,0,g
14,0,g
12,0,g
11,0,g
11,0,g
14,0,g
11,0,g
12,0,g
12,0,g
14,0,g
11,0,g
14,0,g
11,0,g
12,0,g
15,0,g
14,0,g
11,0,g
14,0,g
14,0,g
11,0,g
15,0,g
11,0,g
12,0,g
12,0,g
13,0,g
13,0,g
15,0,g
15,0,g
15,0,g
15,0,g
11,0,g
15,1,g
12,1,g
12,0,g
12,0,g
14,0,g
15,1,g
11,1,g
12,0,g
15,0,g
14,0,g
11,1,g
18,1,e
22,1,e
16,1,e
16,1,e
25,1,e
25,1,e
17,1,e
23,1,e
22,1,e
16,1,e
17,1,e
24,1,e
24,1,e
23,1,e
22,1,e
23,1,e
19,1,e
23,1,e
17,1,e
16,1,e
16,1,e
17,1,e
18,1,e
20,1,e
18,1,e
16,0,e
25,1,e
16,0,e
20,0,e
17,1,e
22,1,e
24,1,e
19,1,e
21,1,e
18,1,e
25,1,e
18,1,e
22,1,e
23,1,e
18,1,e
22,1,e
22,1,e
21,1,e
24,1,e
19,1,e
20,1,e
24,1,e
16,1,e
24,1,e
22,1,e
25,0,g
20,0,g
22,0,g
16,0,g
25,0,g
22,0,g
20,0,g
21,0,g
23,0,g
25,0,g
17,0,g
23,0,g
19,0,g
24,0,g
22,0,g
16,0,g
25,0,g
24,0,g
24,0,g
16,0,g
20,0,g
23,0,g
22,0,g
19,0,g
25,0,g
18,0,g
16,0,g
23,0,g
22,0,g
20,0,g
25,0,g
20,1,g
17,1,g
24,1,g
20,1,g
24,1,g
21,1,g
24,1,g
19,1,g
24,1,g
21,1,g
20,1,g
20,1,g
21,1,g
22,1,g
21,1,g
21,1,g
17,1,g
25,1,g
24,1,g
30,1,e
27,1,e
30,1,e
28,1,e
28,1,e
30,1,e
34,1,e
35,1,e
26,1,e
26,1,e
33,1,e
30,1,e
30,1,e
34,1,e
27,1,e
27,1,e
29,1,e
27,1,e
29,1,e
33,1,e
29,1,e
32,1,e
34,1,e
27,1,e
28,1,e
33,1,e
