"","interval","location"
"1",11,"lizardi"
"2",36,"lizardi"
"3",8,"lizardi"
"4",19,"lizardi"
"5",23,"lizardi"
"6",20,"lizardi"
"7",3,"lizardi"
"8",7,"lizardi"
"9",20,"lizardi"
"10",41,"lizardi"
"11",30,"lizardi"
"12",17,"lizardi"
"13",4,"lizardi"
"14",1,"lizardi"
"15",4,"lizardi"
"16",9,"lizardi"
"17",6,"lizardi"
"18",37,"lizardi"
"19",4,"lizardi"
"20",1,"lizardi"
"21",1,"lizardi"
"22",1,"lizardi"
"23",5,"lizardi"
"24",6,"lizardi"
"25",1,"lizardi"
"26",1,"lizardi"
"27",4,"lizardi"
"28",1,"lizardi"
"29",8,"lizardi"
"30",3,"lizardi"
"31",5,"lizardi"
"32",5,"lizardi"
"33",7,"lizardi"
"34",35,"lizardi"
"35",3,"lizardi"
"36",8,"lizardi"
"37",6,"lizardi"
"38",8,"lizardi"
"39",40,"lizardi"
"40",11,"lizardi"
"41",36,"lizardi"
"42",8,"lizardi"
"43",19,"lizardi"
"44",23,"lizardi"
"45",20,"lizardi"
"46",3,"lizardi"
"47",7,"lizardi"
"48",20,"lizardi"
"49",41,"lizardi"
"50",30,"lizardi"
"51",17,"lizardi"
"52",4,"lizardi"
"53",1,"lizardi"
"54",4,"lizardi"
"55",9,"lizardi"
"56",6,"lizardi"
"57",37,"lizardi"
"58",4,"lizardi"
"59",1,"lizardi"
"60",1,"lizardi"
"61",1,"lizardi"
"62",5,"lizardi"
"63",6,"lizardi"
"64",1,"lizardi"
"65",1,"lizardi"
"66",4,"lizardi"
"67",1,"lizardi"
"68",8,"lizardi"
"69",3,"lizardi"
"70",5,"lizardi"
"71",5,"lizardi"
"72",7,"lizardi"
"73",35,"lizardi"
"74",11,"lizardi"
"75",36,"lizardi"
"76",8,"lizardi"
"77",19,"lizardi"
"78",23,"lizardi"
"79",20,"lizardi"
"80",3,"lizardi"
"81",7,"lizardi"
"82",20,"lizardi"
"83",41,"lizardi"
"84",30,"lizardi"
"85",17,"lizardi"
"86",4,"lizardi"
"87",1,"lizardi"
"88",4,"lizardi"
"89",9,"lizardi"
"90",6,"lizardi"
"91",37,"lizardi"
"92",4,"lizardi"
"93",1,"lizardi"
"94",1,"lizardi"
"95",1,"lizardi"
"96",5,"lizardi"
"97",6,"lizardi"
"98",1,"lizardi"
"99",1,"lizardi"
"100",4,"lizardi"
"101",1,"lizardi"
"102",8,"lizardi"
"103",3,"lizardi"
"104",5,"lizardi"
"105",5,"lizardi"
"106",7,"lizardi"
"107",35,"lizardi"
"108",5,"lizardi"
"109",6,"lizardi"
"110",1,"lizardi"
"111",2,"lizardi"
"112",10,"lizardi"
"113",23,"lizardi"
"114",15,"lizardi"
"115",1,"lizardi"
"116",36,"lizardi"
"117",8,"lizardi"
"118",19,"lizardi"
"119",23,"lizardi"
"120",20,"lizardi"
"121",3,"lizardi"
"122",7,"lizardi"
"123",20,"lizardi"
"124",41,"lizardi"
"125",30,"lizardi"
"126",17,"lizardi"
"127",4,"lizardi"
"128",1,"lizardi"
"129",4,"lizardi"
"130",9,"lizardi"
"131",6,"lizardi"
"132",37,"lizardi"
"133",4,"lizardi"
"134",1,"lizardi"
"135",1,"lizardi"
"136",1,"lizardi"
"137",5,"lizardi"
"138",6,"lizardi"
"139",1,"lizardi"
"140",1,"lizardi"
"141",4,"lizardi"
"142",1,"lizardi"
"143",8,"lizardi"
"144",3,"lizardi"
"145",5,"lizardi"
"146",5,"lizardi"
"147",7,"lizardi"
"148",35,"lizardi"
"149",3,"lizardi"
"150",8,"lizardi"
"151",6,"lizardi"
"152",8,"lizardi"
"153",40,"lizardi"
"154",11,"lizardi"
"155",36,"lizardi"
"156",8,"lizardi"
"157",19,"lizardi"
"158",23,"lizardi"
"159",20,"lizardi"
"160",3,"lizardi"
"161",7,"lizardi"
"162",20,"lizardi"
"163",41,"lizardi"
"164",30,"lizardi"
"165",17,"lizardi"
"166",4,"lizardi"
"167",1,"lizardi"
"168",4,"lizardi"
"169",9,"lizardi"
"170",6,"lizardi"
"171",37,"lizardi"
"172",4,"lizardi"
"173",1,"lizardi"
"174",1,"lizardi"
"175",1,"lizardi"
"176",5,"lizardi"
"177",6,"lizardi"
"178",1,"lizardi"
"179",1,"lizardi"
"180",4,"lizardi"
"181",1,"lizardi"
"182",8,"lizardi"
"183",3,"lizardi"
"184",5,"lizardi"
"185",5,"lizardi"
"186",7,"lizardi"
"187",35,"lizardi"
"188",11,"lizardi"
"189",36,"lizardi"
"190",8,"lizardi"
"191",19,"lizardi"
"192",23,"lizardi"
"193",20,"lizardi"
"194",3,"lizardi"
"195",7,"lizardi"
"196",20,"lizardi"
"197",41,"lizardi"
"198",30,"lizardi"
"199",17,"lizardi"
"200",4,"lizardi"
"201",1,"lizardi"
"202",4,"lizardi"
"203",9,"lizardi"
"204",6,"lizardi"
"205",37,"lizardi"
"206",4,"lizardi"
"207",1,"lizardi"
"208",1,"lizardi"
"209",1,"lizardi"
"210",5,"lizardi"
"211",6,"lizardi"
"212",1,"lizardi"
"213",1,"lizardi"
"214",4,"lizardi"
"215",1,"lizardi"
"216",8,"lizardi"
"217",3,"lizardi"
"218",5,"lizardi"
"219",5,"lizardi"
"220",7,"lizardi"
"221",35,"lizardi"
"222",5,"lizardi"
"223",6,"lizardi"
"224",1,"lizardi"
"225",2,"lizardi"
"226",10,"lizardi"
"227",23,"lizardi"
"228",15,"lizardi"
"229",4,"lizardi"
"230",1,"lizardi"
"231",8,"lizardi"
"232",3,"lizardi"
"233",5,"lizardi"
"234",5,"lizardi"
"235",7,"lizardi"
"236",35,"lizardi"
"237",3,"lizardi"
"238",8,"lizardi"
"239",6,"lizardi"
"240",8,"lizardi"
"241",40,"lizardi"
"242",11,"lizardi"
"243",36,"lizardi"
"244",8,"lizardi"
"245",19,"lizardi"
"246",23,"lizardi"
"247",20,"lizardi"
"248",3,"lizardi"
"249",7,"lizardi"
"250",20,"lizardi"
"251",41,"lizardi"
"252",30,"lizardi"
"253",17,"lizardi"
"254",4,"lizardi"
"255",1,"lizardi"
"256",4,"lizardi"
"257",9,"lizardi"
"258",6,"lizardi"
"259",37,"lizardi"
"260",4,"lizardi"
"261",1,"lizardi"
"262",1,"lizardi"
"263",1,"lizardi"
"264",5,"lizardi"
"265",6,"lizardi"
"266",1,"lizardi"
"267",1,"lizardi"
"268",4,"lizardi"
"269",1,"lizardi"
"270",8,"lizardi"
"271",3,"lizardi"
"272",5,"lizardi"
"273",5,"lizardi"
"274",7,"lizardi"
"275",35,"lizardi"
"276",11,"lizardi"
"277",36,"lizardi"
"278",8,"lizardi"
"279",19,"lizardi"
"280",23,"lizardi"
"281",20,"lizardi"
"282",3,"lizardi"
"283",7,"lizardi"
"284",20,"lizardi"
"285",41,"lizardi"
"286",30,"lizardi"
"287",17,"lizardi"
"288",4,"lizardi"
"289",1,"lizardi"
"290",4,"lizardi"
"291",9,"lizardi"
"292",6,"lizardi"
"293",37,"lizardi"
"294",4,"lizardi"
"295",1,"lizardi"
"296",1,"lizardi"
"297",1,"lizardi"
"298",5,"lizardi"
"299",6,"lizardi"
"300",1,"lizardi"
"301",1,"lizardi"
"302",4,"lizardi"
"303",1,"lizardi"
"304",8,"lizardi"
"305",3,"lizardi"
"306",5,"lizardi"
"307",5,"lizardi"
"308",7,"lizardi"
"309",35,"lizardi"
"310",5,"lizardi"
"311",6,"lizardi"
"312",1,"lizardi"
"313",2,"lizardi"
"314",10,"lizardi"
"315",23,"lizardi"
"316",15,"lizardi"
"317",12,"lizardi"
"318",14,"lizardi"
"319",13,"lizardi"
"320",20,"lizardi"
"321",1,"tolosa"
"322",1,"tolosa"
"323",3,"tolosa"
"324",1,"tolosa"
"325",1,"tolosa"
"326",3,"tolosa"
"327",8,"tolosa"
"328",1,"tolosa"
"329",1,"tolosa"
"330",7,"tolosa"
"331",7,"tolosa"
"332",2,"tolosa"
"333",2,"tolosa"
"334",11,"tolosa"
"335",4,"tolosa"
"336",1,"tolosa"
"337",15,"tolosa"
"338",1,"tolosa"
"339",2,"tolosa"
"340",1,"tolosa"
"341",1,"tolosa"
"342",1,"tolosa"
"343",1,"tolosa"
"344",1,"tolosa"
"345",1,"tolosa"
"346",2,"tolosa"
"347",1,"tolosa"
"348",1,"tolosa"
"349",1,"tolosa"
"350",1,"tolosa"
"351",2,"tolosa"
"352",1,"tolosa"
"353",3,"tolosa"
"354",3,"tolosa"
"355",3,"tolosa"
"356",8,"tolosa"
"357",7,"tolosa"
"358",1,"tolosa"
"359",10,"tolosa"
"360",1,"tolosa"
"361",1,"tolosa"
"362",1,"tolosa"
"363",1,"tolosa"
"364",2,"tolosa"
"365",1,"tolosa"
"366",3,"tolosa"
"367",2,"tolosa"
"368",1,"tolosa"
"369",1,"tolosa"
"370",1,"tolosa"
"371",1,"tolosa"
"372",1,"tolosa"
"373",2,"tolosa"
"374",1,"tolosa"
"375",1,"tolosa"
"376",2,"tolosa"
"377",1,"tolosa"
"378",1,"tolosa"
"379",1,"tolosa"
"380",2,"tolosa"
"381",1,"tolosa"
"382",5,"tolosa"
"383",1,"tolosa"
"384",1,"tolosa"
"385",2,"tolosa"
"386",1,"tolosa"
"387",2,"tolosa"
"388",1,"tolosa"
"389",1,"tolosa"
"390",3,"tolosa"
"391",3,"tolosa"
"392",1,"tolosa"
"393",1,"tolosa"
"394",1,"tolosa"
"395",1,"tolosa"
"396",7,"tolosa"
"397",1,"tolosa"
"398",1,"tolosa"
"399",1,"tolosa"
"400",1,"tolosa"
"401",4,"tolosa"
"402",5,"tolosa"
"403",2,"tolosa"
"404",4,"tolosa"
"405",1,"tolosa"
