"","Instructor","Student","Words.per.minute"
"1","Dr. Katz Professional Therapist","a",35
"2","Dr. Katz Professional Therapist","b",50
"3","Dr. Katz Professional Therapist","c",55
"4","Dr. Katz Professional Therapist","d",60
"5","Dr. Katz Professional Therapist","e",65
"6","Dr. Katz Professional Therapist","f",60
"7","Dr. Katz Professional Therapist","g",70
"8","Dr. Katz Professional Therapist","h",55
"9","Dr. Katz Professional Therapist","i",45
"10","Dr. Katz Professional Therapist","j",55
"11","Dr. Katz Professional Therapist","k",60
"12","Dr. Katz Professional Therapist","l",45
"13","Dr. Katz Professional Therapist","m",65
"14","Dr. Katz Professional Therapist","n",55
"15","Dr. Katz Professional Therapist","o",50
"16","Dr. Katz Professional Therapist","p",60
"17","Laura the Receptionist","q",55
"18","Laura the Receptionist","r",60
"19","Laura the Receptionist","s",75
"20","Laura the Receptionist","t",65
"21","Laura the Receptionist","u",60
"22","Laura the Receptionist","v",70
"23","Laura the Receptionist","w",75
"24","Laura the Receptionist","x",70
"25","Laura the Receptionist","y",65
"26","Laura the Receptionist","z",72
"27","Laura the Receptionist","aa",73
"28","Laura the Receptionist","ab",65
"29","Laura the Receptionist","ac",80
"30","Laura the Receptionist","ad",50
"31","Laura the Receptionist","ae",55
"32","Laura the Receptionist","af",70
