"";"frase";"tamano";"letras";"segundos";"asignatura";"curso"
"1";"¡Hala, venga, hasta luego!";"pareja";27;14;"noexp";"psicologia"
"2";"habrá que irse, ¿no?";"pareja";22;315;"noexp";"psicologia"
"3";"Hala, lanera noa.";"pareja";17;230;"noexp";"psicologia"
"4";"Bueno, que te vaya bien haciendo el informe ese, mañana te escribo!";"pareja";68;6;"noexp";"psicologia"
"5";"Bueno pues nada cariño, nos vemos el Viernes entonces";"pareja";54;55;"noexp";"psicologia"
"6";"Mañana nos vemos. Agur!";"pareja";24;2;"noexp";"psicologia"
"7";"Hablamos mañana que me tengo que ir.";"pareja";37;120;"noexp";"psicologia"
"8";"¡Uy! que tarde, me tengo que ir.";"pareja";33;25;"noexp";"psicologia"
"9";"Bueno ama, te dejo";"pareja";18;35;"noexp";"psicologia"
"10";"Luego hablamos, vale?";"pareja";21;145;"noexp";"psicologia"
"11";"Adiós guapa";"pareja";12;5;"noexp";"psicologia"
"12";"Mañana hablamos, que llego tarde.";"pareja";34;34;"noexp";"psicologia"
"13";"Pues eso, que hablamos luego.";"pareja";29;31;"noexp";"psicologia"
"14";"Bueno pues, adiós.";"pareja";19;87;"noexp";"psicologia"
"15";"<a class=mceButton mceButtonEnabled mce_italic title=Cursiva (Ctrl+I)></a><span class=mceVoiceLabel mceIconOnly></span>Bueno, pues nada guapa.";"pareja";142;88;"noexp";"psicologia"
"16";"Bueno, me voy";"pareja";13;480;"noexp";"psicologia"
"17";"bueno, ya me contarás.";"pareja";23;30;"noexp";"psicologia"
"18";"Me voy, que aún me quedan cosas por hacer.";"pareja";43;540;"noexp";"psicologia"
"19";"Nos vemos en clase, ¡adiós!";"pareja";29;15;"noexp";"psicologia"
"20";"¡Cuando quieras volvemos a quedar, adiós!";"pareja";43;30;"noexp";"psicologia"
"21";"Bueno chao, mañana nos vemos.";"pareja";30;20;"noexp";"psicologia"
"22";"Bueno, ya me voy.";"pareja";17;180;"noexp";"psicologia"
"23";"Adiós.";"pareja";7;15;"noexp";"psicologia"
"24";"Buenas noches, hasta mañana.";"pareja";29;10;"noexp";"psicologia"
"25";"Buenas noches";"pareja";13;21;"noexp";"psicologia"
"26";"Vale, yo me voy que tengo clase...";"pareja";34;20;"noexp";"psicologia"
"27";"Venga, mañana estamos";"pareja";22;56;"noexp";"psicologia"
"28";"Bueno luego estamos";"pareja";19;68;"noexp";"criminologia"
"29";"Bueno, mañana nos vemos";"pareja";24;56;"noexp";"criminologia"
"30";"Venga, me voy a vacunar";"pareja";23;13;"noexp";"criminologia"
"31";"¿Te quiero mucho vale?";"pareja";23;22;"noexp";"criminologia"
"32";"venga vete, que es muy tarde";"pareja";28;1800;"noexp";"criminologia"
"33";"tía me voy que voy a llegar tarde";"pareja";34;15;"noexp";"criminologia"
