"","ciudad","paro","violencia","educacion"
"1","Birmingham city",8.242855,7.2830276,17.270006
"2","Huntsville city",6.669999,6.79316,11.181426
"3","Mobile city",6.6842875,6.478019,13.841425
"4","Montgomery city",5.4371433,5.949461,15.457148
"5","Anchorage municipality",4.8671403,6.6034317,7.790002
"6","Chandler city",4.5571427,5.4567685,9.105712
"7","Gilbert town",4.2200007,4.456602,4.65857
"8","Glendale city",6.518573,6.164773,16.807146
"9","Mesa city",5.2300005,5.903386,13.025719
"10","Peoria city",4.5785723,5.1537843,8.851433
"11","Phoenix city",6.075712,6.4074125,19.754282
"12","Scottsdale city",3.7857149,4.8689723,4.184284
"13","Surprise city",4.8100004,4.858116,8.39714
"14","Tempe city",5.7771416,6.2294235,9.451428
"15","Little Rock city",5.561431,7.133482,10.221431
"16","Anaheim city",6.841431,5.8649197,25.348574
"17","Antioch city",7.931426,6.9067836,13.204284
"18","Bakersfield city",7.1457148,6.2732058,20.820005
"19","Berkeley city",4.7271442,5.97259,4.9399986
"20","Burbank city",5.81857,5.3506975,12.854284
"21","Carlsbad city",5.094287,5.4058933,4.589998
"22","Chula Vista city",7.0814295,5.396109,19.13142
"23","Concord city",6.7,5.736624,12.854287
"24","Corona city",6.5728583,4.8251805,15.985716
"25","Costa Mesa city",6.0757155,5.3001432,15.468563
"26","Daly City city",5.5142865,5.3079286,15.148575
"27","Downey city",6.278569,5.7717443,23.661428
"28","El Cajon city",8.547143,5.8265967,20.784296
"29","El Monte city",7.291428,5.808627,44.89285
"30","Escondido city",5.274284,6.0033517,27.754282
"31","Fairfield city",6.715715,5.9853325,14.495715
"32","Fontana city",9.057143,6.0213976,28.381432
"33","Fremont city",4.711429,4.8980184,8.959997
"34","Fresno city",9.112856,6.2885475,26.054289
"35","Fullerton city",6.149999,5.73109,14.234289
"36","Garden Grove city",6.434287,5.5029106,27.049995
"37","Glendale city",6.282859,4.764587,16.562847
"38","Hayward city",8.007143,5.9558387,21.101433
"39","Huntington Beach city",5.2400002,4.9852214,8.234282
"40","Inglewood city",9.247144,6.5250983,29.625721
"41","Irvine city",4.492857,3.8314714,4.0357156
"42","Lancaster city",6.869998,6.234288,20.07714
"43","Long Beach city",7.7114267,6.3216314,21.657139
"44","Los Angeles city",7.352858,6.131504,26.279999
"45","Modesto city",9.184285,6.6228147,19.474297
"46","Moreno Valley city",9.361426,5.8500133,25.267138
"47","Norwalk city",6.235712,5.981967,28.924297
"48","Oakland city",7.411429,7.5703506,20.315708
"49","Oceanside city",5.254287,5.9959273,16.075724
"50","Ontario city",8.259998,5.707355,31.34713
"51","Orange city",5.541429,4.5242944,16.901436
"52","Oxnard city",6.812855,5.696307,36.065727
"53","Palmdale city",8.195716,6.219264,26.362854
"54","Pasadena city",5.724285,5.6982627,14.835719
"55","Pomona city",7.5342875,6.4587164,34.459976
"56","Rancho Cucamonga city",6.757143,5.203189,9.902855
"57","Rialto city",9.970001,6.195792,32.647156
"58","Richmond city",7.3528585,6.9768276,23.312849
"59","Riverside city",8.154285,6.053661,22.35715
"60","Roseville city",4.992856,5.4327207,5.9042845
"61","Sacramento city",8.15857,6.5797734,17.898565
"62","Salinas city",6.441427,6.4732437,39.662872
"63","San Bernardino city",9.597145,6.8347774,32.69855
