Species,TreePart
Black-throated Green,Middle Outside
Cape May,Top
Blackburnian,Bottom Outside
Yellow-rumped,Middle Outside
Blackburnian,Bottom Inside
Black-throated Green,Middle Outside
Black-throated Green,Middle Outside
Cape May,Top
Yellow-rumped,Middle Outside
Bay-breasted,Bottom Inside
Yellow-rumped,Middle Outside
Blackburnian,Bottom Outside
Cape May,Top
Bay-breasted,Bottom Inside
Blackburnian,Middle Inside
Blackburnian,Bottom Outside
Cape May,Top
Bay-breasted,Bottom Inside
Cape May,Middle Outside
Bay-breasted,Bottom Outside
Cape May,Middle Outside
Blackburnian,Middle Inside
Bay-breasted,Bottom Inside
Yellow-rumped,Top
Yellow-rumped,Top
Blackburnian,Bottom Inside
Cape May,Top
Cape May,Top
Black-throated Green,Middle Outside
Cape May,Top
Blackburnian,Middle Inside
Yellow-rumped,Middle Outside
Bay-breasted,Bottom Outside
Cape May,Top
Yellow-rumped,Middle Inside
Yellow-rumped,Middle Outside
Cape May,Top
Cape May,Top
Cape May,Top
Bay-breasted,Middle Inside
Black-throated Green,Middle Outside
Bay-breasted,Middle Inside
Bay-breasted,Bottom Inside
Black-throated Green,Middle Outside
Blackburnian,Bottom Outside
Cape May,Top
Black-throated Green,Middle Outside
Yellow-rumped,Bottom Inside
Yellow-rumped,Top
Yellow-rumped,Middle Outside
Black-throated Green,Bottom Inside
Bay-breasted,Bottom Inside
Blackburnian,Bottom Outside
Yellow-rumped,Middle Inside
Bay-breasted,Bottom Inside
Blackburnian,Bottom Outside
Black-throated Green,Middle Outside
Cape May,Top
Bay-breasted,Top
Bay-breasted,Bottom Inside
Bay-breasted,Bottom Outside
Black-throated Green,Middle Outside
Yellow-rumped,Top
Bay-breasted,Bottom Inside
Bay-breasted,Middle Inside
Bay-breasted,Bottom Inside
Black-throated Green,Middle Outside
Black-throated Green,Middle Outside
Blackburnian,Bottom Outside
Bay-breasted,Bottom Inside
Yellow-rumped,Middle Inside
Cape May,Top
Bay-breasted,Bottom Inside
Black-throated Green,Middle Outside
Bay-breasted,Bottom Inside
Black-throated Green,Middle Outside
Yellow-rumped,Middle Inside
Yellow-rumped,Middle Inside
Yellow-rumped,Bottom Inside
Blackburnian,Bottom Outside
Blackburnian,Bottom Outside
Cape May,Top
Blackburnian,Bottom Outside
Yellow-rumped,Bottom Outside
Bay-breasted,Bottom Inside
Black-throated Green,Middle Outside
Blackburnian,Middle Inside
Black-throated Green,Bottom Outside
Black-throated Green,Middle Outside
Blackburnian,Middle Inside
Cape May,Top
Cape May,Top
