time,room,day,weekend,part
9,1,Friday,no,am
9,1,Friday,no,am
9,2,Friday,no,am
9,0,Friday,no,am
9,2,Friday,no,am
10,0,Friday,no,pm
13,1,Friday,no,pm
13,0,Friday,no,pm
13,2,Friday,no,pm
15,12,Friday,no,pm
16,9,Friday,no,pm
16,3,Friday,no,pm
16,4,Friday,no,pm
16,2,Friday,no,am
17,1,Friday,no,pm
17,2,Friday,no,pm
17,3,Friday,no,pm
17,4,Friday,no,pm
17,3,Friday,no,am
17,4,Friday,no,am
17,5,Friday,no,am
8,2,Monday,no,am
8,1,Monday,no,pm
8,0,Monday,no,am
8,0,Monday,no,am
8,1,Monday,no,am
9,1,Monday,no,am
9,0,Monday,no,am
9,1,Monday,no,am
9,2,Monday,no,am
10,0,Monday,no,am
11,3,Monday,no,am
14,12,Monday,no,pm
14,1,Monday,no,pm
16,1,Monday,no,pm
16,5,Monday,no,pm
16,6,Monday,no,pm
16,7,Monday,no,pm
17,6,Monday,no,pm
17,5,Monday,no,pm
17,2,Monday,no,pm
18,0,Monday,no,pm
19,6,Monday,no,pm
10,18,Saturday,yes,am
10,19,Saturday,yes,am
10,20,Saturday,yes,am
10,21,Saturday,yes,am
14,9,Saturday,yes,pm
15,10,Saturday,yes,pm
15,11,Saturday,yes,pm
16,6,Saturday,yes,pm
16,3,Saturday,yes,pm
16,4,Saturday,yes,pm
19,3,Saturday,yes,pm
19,6,Saturday,yes,pm
19,7,Saturday,yes,pm
19,10,Saturday,yes,pm
20,3,Saturday,yes,pm
20,7,Saturday,yes,pm
20,15,Saturday,yes,pm
20,16,Saturday,yes,pm
20,17,Saturday,yes,pm
21,4,Saturday,yes,pm
21,5,Saturday,yes,pm
21,6,Saturday,yes,pm
11,3,Sunday,yes,am
11,3,Sunday,yes,am
11,5,Sunday,yes,am
11,6,Sunday,yes,am
12,2,Sunday,yes,am
12,1,Sunday,yes,am
12,0,Sunday,yes,am
15,4,Sunday,yes,pm
15,3,Sunday,yes,pm
15,0,Sunday,yes,pm
15,1,Sunday,yes,pm
16,3,Sunday,yes,pm
16,5,Sunday,yes,pm
17,5,Sunday,yes,pm
18,1,Sunday,yes,pm
18,1,Sunday,yes,pm
20,7,Sunday,yes,pm
8,1,Thursday,no,am
8,0,Thursday,no,am
8,1,Thursday,no,am
8,0,Thursday,no,am
9,0,Thursday,no,pm
14,1,Thursday,no,pm
14,2,Thursday,no,pm
14,1,Thursday,no,pm
14,1,Thursday,no,pm
15,2,Thursday,no,pm
15,0,Thursday,no,pm
16,1,Thursday,no,am
8,0,Tuesday,no,pm
8,1,Tuesday,no,pm
8,0,Tuesday,no,am
9,1,Tuesday,no,pm
9,0,Tuesday,no,pm
9,4,Tuesday,no,pm
14,2,Tuesday,no,pm
14,2,Tuesday,no,pm
16,7,Tuesday,no,pm
16,7,Tuesday,no,am
18,6,Tuesday,no,pm
11,1,Wednesday,no,am
11,2,Wednesday,no,am
11,3,Wednesday,no,am
12,6,Wednesday,no,pm
14,5,Wednesday,no,am
14,5,Wednesday,no,pm
14,0,Wednesday,no,pm
16,1,Wednesday,no,pm
16,2,Wednesday,no,pm
16,13,Wednesday,no,pm
19,0,Wednesday,no,am
16,5,Sunday,yes,pm
16,4,Sunday,yes,pm
16,7,Sunday,yes,pm
16,8,Sunday,yes,pm
9,1,Monday,no,am
9,2,Monday,no,am
10,1,Monday,no,am
10,2,Monday,no,am
12,1,Monday,yes,pm
12,2,Monday,yes,pm
