Killed_ID,sex
1,male
2,female
3,female
4,male
5,female
6,female
7,female
8,female
9,female
10,female
11,female
12,female
13,male
14,female
15,female
16,female
17,female
18,female
19,female
20,female
21,male
22,female
23,female
24,female
25,female
26,female
27,male
28,female
29,female
30,female
31,female
32,female
33,female
34,male
35,female
36,female
37,female
38,female
39,female
40,female
41,female
42,female
43,female
44,female
45,female
46,female
47,female
48,female
49,female
50,female
51,male
52,female
53,female
54,female
55,male
56,female
57,male
58,female
59,female
60,female
61,female
62,female
63,male
64,female
65,female
66,female
67,male
68,female
69,female
70,female
71,female
72,female
73,female
74,female
75,female
76,female
77,female
78,female
79,male
80,female
81,male
82,female
83,female
84,female
85,female
86,male
87,female
88,female
89,female
90,female
91,male
92,female
93,female
94,female
95,female
96,female
97,female
98,male
99,female
100,female
101,female
102,female
103,female
104,female
105,female
106,female
107,male
108,male
109,male
110,female
111,female
112,male
113,female
114,female
115,male
116,female
117,female
118,female
119,female
