id,gr,mx,lar,pil,x,y
3,9,0,9,0,750592.3892,1601195.867
4,15,0,15,0,752842.2872,1601195.551
5,12,0,12,0,755092.219,1601195.439
6,9,1,7,2,757342.1848,1601195.532
13,3,0,3,0,749467.1538,1599195.375
14,18,0,18,0,751717.2056,1599196.035
15,18,0,18,0,753967.3022,1599195.793
16,13,2,12,1,756217.4328,1599195.755
17,6,1,6,0,758467.5976,1599195.922
19,2,0,0,2,762968.0425,1599195.762
24,10,0,10,0,750593.0123,1597195.506
25,23,1,23,1,752842.1951,1597195.122
26,9,0,9,0,755092.479,1597196.061
27,14,0,13,1,757342.8082,1597196.097
28,12,2,7,5,759592.1047,1597195.219
29,7,1,4,2,761842.5029,1597195.664
30,3,1,1,1,766342.3374,1597196.047
31,6,0,0,6,768592.853,1597195.997
33,6,0,6,0,749467.5391,1595195.048
34,16,1,16,0,751717.954,1595195.652
35,6,2,5,1,753967.335,1595195.343
36,11,1,9,1,756217.8286,1595195.248
37,13,4,8,3,758467.2777,1595195.346
38,3,0,0,3,760717.8399,1595195.66
39,6,2,0,4,762967.3699,1595195.059
40,3,0,1,3,765218.002,1595195.781
44,11,0,11,0,750592.4444,1593195.146
45,8,1,8,0,752843.0572,1593195.824
46,11,3,10,0,755092.6361,1593195.588
47,8,2,6,3,757342.2491,1593195.556
48,4,1,0,3,759592.9753,1593195.739
55,8,2,7,0,751717.5109,1591195.27
56,10,3,7,2,753967.2426,1591196.011
57,13,5,5,7,756217.0193,1591195.849
58,7,3,0,5,758467.9092,1591195.901
62,4,0,3,3,752842.7385,1589195.42
41,5,0,0,5,767467.6024,1595195.588
51,4,0,0,4,766342.1494,1593195.262
146,2,0,0,2,756199.9234,1583184.079
147,2,0,1,2,755088.2107,1585195.191
173,1,0,0,1,757324.7078,1577183.847
167,2,1,0,2,758449.2119,1579184.438
93,3,1,2,1,753968.242,1587202.279
63,9,1,3,5,755092.6789,1589195.128
152,2,0,0,2,766324.4722,1585184.091
151,1,0,0,1,764074.074,1585183.646
153,2,1,0,1,758470.6805,1583194.426
162,2,0,0,2,761846.0907,1581200.79
83,1,0,0,1,759593.4127,1589202.76
166,5,2,0,3,760698.9887,1579184.276
18,12,5,5,5,760724.9695,1599253.718
148,0,0,0,0,757329.7405,1585196.093
161,3,2,0,2,759570.719,1581192.693
49,3,0,1,2,761835.2436,1593210.63
50,5,1,0,5,764082.3556,1593200.731
91,0,0,0,0,758450.2253,1587192.218
92,1,0,0,1,756205.8195,1587178.616
78,3,2,1,1,760697.2214,1591234.163
79,1,1,0,0,762955.8352,1591204.248
94,6,2,3,1,751717.4466,1587217.586
